# gt	L=5	L=7	L=9	L=11	L=21	L=31	L=41	L=51	L=61	L=71	L=81	L=91	L=101	L=201	L=301	L=401	L=501	L=601	L=701	L=801	L=901
2.691700e+03	4.452143e-01	4.570423e-02	1.794982e-01	4.835831e-01	1.912239e-01	8.679673e-02	1.234390e-01	4.294275e-02	1.365099e-01	9.692735e-02	4.169616e-02	5.567893e-02	1.735621e-02	2.398559e-02	1.887827e-02	3.664491e-02	2.805924e-02	1.024277e-02	3.435440e-02	3.590631e-02	1.724273e-02
2.692250e+03	3.932702e-01	1.169394e-01	3.937767e-02	3.849308e-01	1.990778e-01	2.233553e-02	1.574658e-01	1.693110e-02	3.974968e-02	1.007152e-01	1.567407e-01	7.414690e-02	4.028188e-02	3.501032e-02	3.096761e-03	3.698518e-02	2.583759e-02	3.046843e-02	1.226222e-02	4.854436e-03	1.580154e-02
2.692800e+03	2.065232e-01	1.824183e-01	1.403805e-01	1.349422e-01	2.191443e-01	4.856745e-02	5.917052e-02	5.213418e-02	1.185047e-01	2.772624e-02	7.435008e-02	5.126347e-02	4.522463e-02	1.863753e-02	2.223790e-02	2.771777e-02	7.644928e-03	1.269276e-02	3.188148e-02	1.961063e-02	1.633485e-02
2.693350e+03	2.187111e-01	2.311380e-01	1.323579e-01	1.084233e-01	7.663125e-02	4.758691e-02	1.225938e-01	2.566431e-02	6.572986e-02	1.319850e-01	4.168400e-02	7.835776e-02	2.543193e-02	2.438465e-02	3.694674e-02	3.739014e-02	2.157030e-02	1.503450e-02	2.377798e-02	1.544480e-02	8.167979e-03
2.693900e+03	3.197335e-01	6.040999e-02	5.152566e-03	4.329144e-01	1.672906e-01	1.702726e-02	1.208897e-01	2.217099e-02	1.002632e-01	8.298094e-02	5.120155e-02	1.999821e-02	7.423693e-02	3.894499e-02	1.202001e-02	5.304657e-02	1.702060e-02	1.004479e-02	1.961621e-02	8.888856e-03	1.954436e-02
2.694450e+03	2.427008e-01	1.571515e-01	3.834504e-02	7.489176e-02	1.348962e-01	3.130436e-02	1.646902e-01	8.674153e-02	1.263881e-01	5.317470e-02	1.477648e-01	5.691027e-02	5.394694e-02	3.650450e-02	1.898702e-02	2.538186e-02	3.832692e-02	4.642875e-03	2.086309e-02	1.621316e-02	1.582055e-02
2.695000e+03	3.567120e-01	2.727490e-01	8.769205e-02	1.811795e-01	1.840478e-01	3.007717e-02	1.214394e-01	8.260986e-02	1.029641e-01	7.886351e-02	2.886674e-02	5.205049e-02	1.533399e-02	4.037697e-02	1.648731e-02	3.489134e-02	1.761767e-02	2.547664e-02	4.894673e-02	1.296628e-02	3.870299e-03
2.695550e+03	2.200643e-01	1.555836e-01	6.152486e-02	1.254013e-01	1.468244e-01	2.642967e-02	1.391289e-01	4.090115e-02	7.787197e-02	1.143265e-01	4.996903e-02	6.178691e-02	4.541864e-02	5.802413e-02	9.714085e-03	2.873682e-02	2.577515e-02	1.479199e-02	2.607846e-02	6.849372e-03	2.352258e-02
2.696100e+03	3.004786e-01	1.859843e-01	4.885557e-02	1.777881e-01	1.345698e-01	2.823767e-02	1.357545e-01	2.112325e-02	1.140693e-01	5.385251e-02	7.545295e-02	3.552625e-02	7.302603e-02	4.280093e-02	9.380991e-03	6.756732e-02	4.522465e-02	3.312205e-03	1.052731e-02	1.198642e-02	1.919902e-02
2.696650e+03	3.171477e-01	2.855182e-01	8.047227e-02	3.737771e-01	1.254883e-01	1.507629e-02	2.090789e-01	1.136854e-01	1.163491e-01	7.278894e-02	8.848129e-02	2.755737e-02	3.567298e-02	4.435532e-02	1.812734e-02	4.525760e-02	3.871335e-02	1.581368e-02	3.704466e-02	1.773999e-02	5.960517e-03
